Topic,ID_pos,ID_neg
1,78,106
1,78,103
1,78,104
1,78,97
1,78,107
1,78,91
1,78,102
1,78,94
1,78,98
1,78,86
1,78,88
1,78,87
1,78,89
1,78,80
1,78,73
1,78,76
1,78,74
1,78,75
1,78,72
1,78,66
1,78,77
1,78,79
1,78,101
1,78,96
1,78,69
1,78,95
1,78,20
1,78,21
1,78,19
1,78,15
1,78,14
1,78,13
1,78,12
1,78,11
1,78,5
1,78,4
1,78,10
1,78,8
1,78,9
1,78,1
1,78,0
1,78,7
1,78,2
1,78,25
1,78,6
1,78,16
1,78,82
1,78,62
1,78,65
1,78,46
1,78,59
1,78,56
1,78,55
1,78,57
1,78,54
1,78,58
1,78,49
1,78,52
1,78,100
1,78,63
1,78,81
1,78,99
1,78,68
1,78,71
1,78,83
1,78,84
1,78,60
1,78,53
1,78,47
1,78,45
1,78,64
1,78,44
1,78,42
1,78,92
1,78,32
1,78,33
1,78,36
1,78,27
1,78,23
1,78,22
1,78,40
1,78,41
1,78,30
1,78,39
1,78,38
1,78,31
1,78,43
1,78,24
1,78,34
1,78,29
1,78,108
1,78,105
1,78,26
1,78,17
1,78,3
1,78,85
1,78,93
1,78,61
1,78,67
1,78,50
1,78,90
1,78,70
1,78,48
1,78,51
1,78,35
1,78,18
1,37,106
1,37,103
1,37,104
1,37,97
1,37,107
1,37,91
1,37,102
1,37,94
1,37,98
1,37,86
1,37,88
1,37,87
1,37,89
1,37,80
1,37,73
1,37,76
1,37,74
1,37,75
1,37,72
1,37,66
1,37,77
1,37,79
1,37,101
1,37,96
1,37,69
1,37,95
1,37,20
1,37,21
1,37,19
1,37,15
1,37,14
1,37,13
1,37,12
1,37,11
1,37,5
1,37,4
1,37,10
1,37,8
1,37,9
1,37,1
1,37,0
1,37,7
1,37,2
1,37,25
1,37,6
1,37,16
1,37,82
1,37,62
1,37,65
1,37,46
1,37,59
1,37,56
1,37,55
1,37,57
1,37,54
1,37,58
1,37,49
1,37,52
1,37,100
1,37,63
1,37,81
1,37,99
1,37,68
1,37,71
1,37,83
1,37,84
1,37,60
1,37,53
1,37,47
1,37,45
1,37,64
1,37,44
1,37,42
1,37,92
1,37,32
1,37,33
1,37,36
1,37,27
1,37,23
1,37,22
